Country,Colonization Status,Gini coefficient (most recent)
Kenya,Colonized,38.7
Malaysia,Colonized,40.7
Thailand,Non-Colonized,34.9
"Korea, Rep.",Non-Colonized,32.9
Norway,Non-Colonized,27.7
Nigeria,Colonized,35.1
South Africa,Colonized,63
Ghana,Colonized,43.5
Botswana,Colonized,53.3
India,Colonized,32.8
Pakistan,Colonized,29.6
Bangladesh,Colonized,33.4
Jamaica,Colonized,40.2
Australia,Colonized,34.3
Chile,Non-Colonized,43
Denmark,Non-Colonized,28.3
Argentina,Non-Colonized,40.7
Iceland,Non-Colonized,26.1
