iso3,city,year,pm25_concentration
ESP,A Coruna/ESP,2013.0,11.491
ESP,A Coruna/ESP,2014.0,15.878
ESP,A Coruna/ESP,2015.0,14.004
ESP,A Coruna/ESP,2016.0,13.16
ESP,A Coruna/ESP,2017.0,14.114
ESP,A Coruna/ESP,2018.0,14.876
ESP,A Coruna/ESP,2019.0,13.017
DEU,Aachen/DEU,2010.0,
DEU,Aachen/DEU,2013.0,13.988
DEU,Aachen/DEU,2014.0,11.512
DEU,Aachen/DEU,2015.0,11.03
DEU,Aachen/DEU,2016.0,10.214
DEU,Aachen/DEU,2017.0,10.231
DEU,Aachen/DEU,2018.0,10.808
DEU,Aachen/DEU,2019.0,8.633
USA,Aberdeen SD/USA,2010.0,8.7
USA,Aberdeen SD/USA,2011.0,7.1
USA,Aberdeen SD/USA,2012.0,7.5
USA,Aberdeen SD/USA,2013.0,7.3
USA,Aberdeen SD/USA,2014.0,6.2
USA,Aberdeen SD/USA,2015.0,6.2
USA,Aberdeen SD/USA,2016.0,5.4
USA,Aberdeen SD/USA,2017.0,5.9
USA,Aberdeen SD/USA,2018.0,6.7
USA,Aberdeen SD/USA,2019.0,5.9
GBR,Aberdeen/GBR,2010.0,7.074
GBR,Aberdeen/GBR,2013.0,8.59
GBR,Aberdeen/GBR,2014.0,10.204
GBR,Aberdeen/GBR,2015.0,8.039
GBR,Aberdeen/GBR,2016.0,5.372
GBR,Aberdeen/GBR,2017.0,5.781
GBR,Aberdeen/GBR,2018.0,6.871
GBR,Aberdeen/GBR,2019.0,7.259
ITA,Acquapendente/ITA,2013.0,10.255
ITA,Acquapendente/ITA,2014.0,9.47
ITA,Acquapendente/ITA,2015.0,10.437
ITA,Acquapendente/ITA,2016.0,9.376
ITA,Acquapendente/ITA,2017.0,10.012
ITA,Acquapendente/ITA,2018.0,10.329
ITA,Acquapendente/ITA,2019.0,10.083
AUS,Adelaide/AUS,2012.0,7.3
AUS,Adelaide/AUS,2013.0,7.25
AUS,Adelaide/AUS,2014.0,7.1
AUS,Adelaide/AUS,2015.0,7.45
AUS,Adelaide/AUS,2016.0,6.875
AUS,Adelaide/AUS,2017.0,7.54
AUS,Adelaide/AUS,2018.0,6.78
AUS,Adelaide/AUS,2019.0,6.14
USA,Adrian MI/USA,2010.0,8.9
USA,Adrian MI/USA,2011.0,9.6
USA,Adrian MI/USA,2012.0,9.0
USA,Adrian MI/USA,2013.0,7.9
USA,Adrian MI/USA,2014.0,8.8
USA,Adrian MI/USA,2015.0,8.6
USA,Adrian MI/USA,2016.0,7.5
USA,Adrian MI/USA,2017.0,7.3
USA,Adrian MI/USA,2018.0,8.4
USA,Adrian MI/USA,2019.0,8.5
ESP,Aguimes/ESP,2010.0,7.378
ESP,Aguimes/ESP,2013.0,7.271
ESP,Aguimes/ESP,2014.0,6.556
ESP,Aguimes/ESP,2015.0,8.724
ESP,Aguimes/ESP,2016.0,7.168
ESP,Aguimes/ESP,2017.0,8.753
ESP,Aguimes/ESP,2018.0,8.904
ESP,Aguimes/ESP,2019.0,9.174
FRA,Aix En Provence/FRA,2010.0,14.916
FRA,Aix En Provence/FRA,2013.0,18.67
FRA,Aix En Provence/FRA,2014.0,13.06
FRA,Aix En Provence/FRA,2015.0,12.934
FRA,Aix En Provence/FRA,2016.0,12.948
FRA,Aix En Provence/FRA,2017.0,12.781
FRA,Aix En Provence/FRA,2018.0,11.944
FRA,Aix En Provence/FRA,2019.0,10.507
USA,Akron OH/USA,2010.0,12.367
USA,Akron OH/USA,2011.0,11.133
USA,Akron OH/USA,2012.0,10.033
USA,Akron OH/USA,2013.0,9.733
USA,Akron OH/USA,2014.0,10.4
USA,Akron OH/USA,2015.0,10.367
USA,Akron OH/USA,2016.0,8.2
USA,Akron OH/USA,2017.0,7.933
USA,Akron OH/USA,2018.0,7.933
USA,Akron OH/USA,2019.0,8.133
PRT,Alandroal/PRT,2010.0,
PRT,Alandroal/PRT,2013.0,15.496
PRT,Alandroal/PRT,2014.0,10.296
PRT,Alandroal/PRT,2015.0,12.342
PRT,Alandroal/PRT,2016.0,12.974
PRT,Alandroal/PRT,2017.0,13.258
PRT,Alandroal/PRT,2018.0,6.89
PRT,Alandroal/PRT,2019.0,4.116
ESP,Albacete/ESP,2010.0,14.159
ESP,Albacete/ESP,2011.0,11.236
ESP,Albacete/ESP,2012.0,11.722
ESP,Albacete/ESP,2013.0,14.444
ESP,Albacete/ESP,2014.0,14.252
ESP,Albacete/ESP,2015.0,11.209
ESP,Albacete/ESP,2016.0,9.612
ESP,Albacete/ESP,2017.0,11.233
ESP,Albacete/ESP,2018.0,10.239
ESP,Albacete/ESP,2019.0,8.616
ESP,Albalat Dels Tarongers/ESP,2010.0,
ESP,Albalat Dels Tarongers/ESP,2013.0,7.005
ESP,Albalat Dels Tarongers/ESP,2014.0,8.609
ESP,Albalat Dels Tarongers/ESP,2015.0,7.102
ESP,Albalat Dels Tarongers/ESP,2016.0,6.886
ESP,Albalat Dels Tarongers/ESP,2017.0,4.955
ESP,Albalat Dels Tarongers/ESP,2018.0,4.658
ESP,Albalat Dels Tarongers/ESP,2019.0,4.473
USA,Albany GA/USA,2010.0,12.3
USA,Albany GA/USA,2011.0,12.1
USA,Albany GA/USA,2012.0,10.6
USA,Albany GA/USA,2013.0,10.0
USA,Albany GA/USA,2014.0,10.3
USA,Albany GA/USA,2015.0,9.0
USA,Albany GA/USA,2016.0,8.7
USA,Albany GA/USA,2017.0,9.4
USA,Albany GA/USA,2018.0,8.4
USA,Albany GA/USA,2019.0,9.3
USA,Albany Schenectady Troy NY/USA,2010.0,7.9
USA,Albany Schenectady Troy NY/USA,2011.0,8.0
USA,Albany Schenectady Troy NY/USA,2012.0,7.3
USA,Albany Schenectady Troy NY/USA,2013.0,6.75
USA,Albany Schenectady Troy NY/USA,2014.0,6.85
USA,Albany Schenectady Troy NY/USA,2015.0,7.35
USA,Albany Schenectady Troy NY/USA,2016.0,6.0
USA,Albany Schenectady Troy NY/USA,2017.0,6.35
USA,Albany Schenectady Troy NY/USA,2018.0,6.65
USA,Albany Schenectady Troy NY/USA,2019.0,6.05
ITA,Albenga/ITA,2010.0,
ITA,Albenga/ITA,2013.0,11.811
ITA,Albenga/ITA,2014.0,11.008
ITA,Albenga/ITA,2015.0,11.479
ITA,Albenga/ITA,2016.0,10.877
ITA,Albenga/ITA,2017.0,10.556
ITA,Albenga/ITA,2018.0,11.187
ITA,Albenga/ITA,2019.0,12.988
USA,Albuquerque NM/USA,2010.0,5.3
USA,Albuquerque NM/USA,2011.0,6.9
USA,Albuquerque NM/USA,2012.0,7.4
USA,Albuquerque NM/USA,2013.0,5.7
USA,Albuquerque NM/USA,2014.0,6.4
USA,Albuquerque NM/USA,2015.0,6.6
USA,Albuquerque NM/USA,2016.0,5.4
USA,Albuquerque NM/USA,2017.0,5.6
USA,Albuquerque NM/USA,2018.0,5.1
USA,Albuquerque NM/USA,2019.0,6.0
ITA,Alessandria/ITA,2010.0,
ITA,Alessandria/ITA,2013.0,26.64
ITA,Alessandria/ITA,2014.0,22.222
ITA,Alessandria/ITA,2015.0,24.37
ITA,Alessandria/ITA,2016.0,21.235
ITA,Alessandria/ITA,2017.0,25.936
ITA,Alessandria/ITA,2018.0,22.168
ITA,Alessandria/ITA,2019.0,19.917
USA,Alexandria LA/USA,2010.0,9.2
USA,Alexandria LA/USA,2011.0,8.6
USA,Alexandria LA/USA,2012.0,8.6
USA,Alexandria LA/USA,2013.0,7.3
USA,Alexandria LA/USA,2014.0,7.7
USA,Alexandria LA/USA,2015.0,7.2
USA,Alexandria LA/USA,2016.0,8.0
USA,Alexandria LA/USA,2017.0,7.9
USA,Alexandria LA/USA,2018.0,8.2
USA,Alexandria LA/USA,2019.0,7.5
ESP,Alfara De Algimia/ESP,2013.0,7.157
ESP,Alfara De Algimia/ESP,2014.0,8.297
ESP,Alfara De Algimia/ESP,2015.0,9.176
ESP,Alfara De Algimia/ESP,2016.0,7.548
ESP,Alfara De Algimia/ESP,2017.0,5.155
ESP,Alfara De Algimia/ESP,2018.0,6.198
ESP,Alfara De Algimia/ESP,2019.0,5.853
ESP,Alfaro/ESP,2010.0,11.26
ESP,Alfaro/ESP,2013.0,8.322
ESP,Alfaro/ESP,2014.0,8.345
ESP,Alfaro/ESP,2015.0,6.367
ESP,Alfaro/ESP,2016.0,6.083
ESP,Alfaro/ESP,2017.0,6.404
ESP,Alfaro/ESP,2018.0,7.134
ESP,Alfaro/ESP,2019.0,8.656
ESP,Algete/ESP,2010.0,9.362
ESP,Algete/ESP,2013.0,8.606
ESP,Algete/ESP,2014.0,5.685
ESP,Algete/ESP,2015.0,6.546
ESP,Algete/ESP,2016.0,7.872
