SpatialDim,TimeDim,NumericValue
AFG,2000,1041.634
AFG,2001,1050.808
AFG,2002,1051.905
AFG,2003,1042.0
AFG,2004,1038.197
AFG,2005,1027.378
AFG,2006,1015.406
AFG,2007,1006.136
AFG,2008,989.2155
AFG,2009,964.597
AFG,2010,950.6849
AFG,2011,933.6707
AFG,2012,919.3029
AFG,2013,909.6195
AFG,2014,899.0647
AFG,2015,895.0696
AFG,2016,895.2938
AFG,2017,894.5685
AFG,2018,881.7846
AFG,2019,881.2331
AFR,2000,717.6634
AFR,2001,708.0605
AFR,2002,701.5699
AFR,2003,694.7129
AFR,2004,688.1443
AFR,2005,681.9823
AFR,2006,679.1009
AFR,2007,671.9229
AFR,2008,667.9754
AFR,2009,661.8307
AFR,2010,654.2022
AFR,2011,645.7646
AFR,2012,636.7758
AFR,2013,628.841
AFR,2014,620.6445
AFR,2015,615.8798
AFR,2016,608.6253
AFR,2017,601.1069
AFR,2018,593.4088
AFR,2019,587.145
AGO,2000,775.0211
AGO,2001,768.3793
AGO,2002,763.9988
AGO,2003,768.9059
AGO,2004,767.2207
AGO,2005,743.5797
AGO,2006,752.5267
AGO,2007,708.2771
AGO,2008,711.5917
AGO,2009,672.6966
AGO,2010,682.3022
AGO,2011,662.7888
AGO,2012,671.3505
AGO,2013,664.7145
AGO,2014,635.3622
AGO,2015,639.0939
AGO,2016,629.1572
AGO,2017,617.9132
AGO,2018,616.0638
AGO,2019,621.198
ALB,2000,655.9436
ALB,2001,484.8182
ALB,2002,532.3357
ALB,2003,586.1281
ALB,2004,558.5732
ALB,2005,599.841
ALB,2006,594.2396
ALB,2007,580.0494
ALB,2008,558.3331
ALB,2009,535.324
ALB,2010,505.859
ALB,2011,490.1731
ALB,2012,507.136
ALB,2013,486.3732
ALB,2014,484.1204
ALB,2015,513.9418
ALB,2016,527.4755
ALB,2017,551.6287
ALB,2018,576.4409
ALB,2019,601.9095
AMR,2000,496.2302
AMR,2001,488.2185
AMR,2002,482.4861
AMR,2003,479.4404
AMR,2004,467.4737
AMR,2005,463.7696
AMR,2006,452.0285
AMR,2007,445.8584
AMR,2008,444.1157
AMR,2009,434.9896
AMR,2010,435.7316
AMR,2011,428.9384
AMR,2012,423.6527
AMR,2013,420.983
AMR,2014,418.9266
AMR,2015,421.2091
AMR,2016,419.2556
AMR,2017,414.8853
AMR,2018,412.7573
AMR,2019,410.8346
ARE,2000,623.4324
ARE,2001,621.1947
ARE,2002,616.847
ARE,2003,612.4583
ARE,2004,601.6681
ARE,2005,602.9407
ARE,2006,588.3591
ARE,2007,586.6578
ARE,2008,564.0285
ARE,2009,559.2288
ARE,2010,555.3953
