SpatialDim,TimeDim,NumericValue
AFG,2000,79198.66
AFG,2001,82381.72
AFG,2002,86798.67
AFG,2003,90708.21
AFG,2004,94008.86
AFG,2005,95631.12
AFG,2006,97079.55
AFG,2007,99712.05
AFG,2008,100491.7
AFG,2009,99996.63
AFG,2010,101102.1
AFG,2011,102132.2
AFG,2012,103853.6
AFG,2013,107075.7
AFG,2014,109012.3
AFG,2015,111614.3
AFG,2016,115964.4
AFG,2017,119666.7
AFG,2018,122520.2
AFG,2019,126847.1
AFR,2000,2100840.0
AFR,2001,2125986.0
AFR,2002,2159311.0
AFR,2003,2183446.0
AFR,2004,2210484.0
AFR,2005,2227730.0
AFR,2006,2297149.0
AFR,2007,2344037.0
AFR,2008,2395455.0
AFR,2009,2434329.0
AFR,2010,2459416.0
AFR,2011,2509262.0
AFR,2012,2554715.0
AFR,2013,2599168.0
AFR,2014,2639272.0
AFR,2015,2680350.0
AFR,2016,2745787.0
AFR,2017,2802703.0
AFR,2018,2849125.0
AFR,2019,2889945.0
AGO,2000,53475.97
AGO,2001,54341.98
AGO,2002,55540.12
AGO,2003,57777.83
AGO,2004,59261.92
AGO,2005,58676.46
AGO,2006,61508.33
AGO,2007,59465.61
AGO,2008,61532.14
AGO,2009,59218.8
AGO,2010,61842.41
AGO,2011,61663.8
AGO,2012,64652.71
AGO,2013,65711.69
AGO,2014,64029.12
AGO,2015,66988.57
AGO,2016,67918.01
AGO,2017,68544.23
AGO,2018,70000.51
AGO,2019,72648.84
ALB,2000,16493.19
ALB,2001,12985.31
ALB,2002,14599.69
ALB,2003,16431.97
ALB,2004,16014.67
ALB,2005,17606.98
ALB,2006,18486.72
ALB,2007,18646.91
ALB,2008,18509.57
ALB,2009,18268.43
ALB,2010,17814.66
ALB,2011,17807.07
ALB,2012,18952.16
ALB,2013,18876.07
ALB,2014,19430.57
ALB,2015,21446.17
ALB,2016,22923.61
ALB,2017,25004.21
ALB,2018,27147.17
ALB,2019,29266.52
AMR,2000,4213922.0
AMR,2001,4266866.0
AMR,2002,4327345.0
AMR,2003,4403824.0
AMR,2004,4389864.0
AMR,2005,4458511.0
AMR,2006,4473777.0
AMR,2007,4540666.0
AMR,2008,4649396.0
AMR,2009,4669117.0
AMR,2010,4809274.0
AMR,2011,4882554.0
AMR,2012,4961771.0
AMR,2013,5067591.0
AMR,2014,5173886.0
AMR,2015,5339872.0
AMR,2016,5464720.0
AMR,2017,5565627.0
AMR,2018,5697480.0
AMR,2019,5819137.0
ARE,2000,5181.471
ARE,2001,5346.607
ARE,2002,5403.542
ARE,2003,5620.188
ARE,2004,6170.542
ARE,2005,6992.237
ARE,2006,7749.131
ARE,2007,8753.962
ARE,2008,9752.432
ARE,2009,10864.2
ARE,2010,11795.35
ARE,2011,12603.97
