iso3,year,co2_emissions_pc
AFG,2008,0.16065161
AFG,2009,0.23271917
AFG,2010,0.2957424
AFG,2011,0.40338126
AFG,2012,0.32838032
AFG,2013,0.29183197
AFG,2014,0.27707645
AFG,2015,0.28583142
ALB,2008,1.4691418
ALB,2009,1.4879525
ALB,2010,1.6334264
ALB,2011,1.8254082
ALB,2012,1.6666856
ALB,2013,1.8185169
ALB,2014,2.0661745
ALB,2015,1.625643
DZA,2008,3.1906118
DZA,2009,3.348967
DZA,2010,3.2704897
DZA,2011,3.3897867
DZA,2012,3.603934
DZA,2013,3.6649592
DZA,2014,3.8587592
DZA,2015,4.0002337
AND,2008,6.449391
AND,2009,6.1570287
AND,2010,6.399722
AND,2011,6.310664
AND,2012,6.34042
AND,2013,6.3323584
AND,2014,6.2594266
AND,2015,6.445522
AGO,2008,0.86892146
AGO,2009,0.9220852
AGO,2010,0.9866279
AGO,2011,0.9660866
AGO,2012,1.0303272
AGO,2013,0.9825774
AGO,2014,0.96059257
AGO,2015,0.9768856
AIA,2008,9.648827
AIA,2009,9.482113
AIA,2010,9.864194
AIA,2011,9.164717
AIA,2012,9.022611
AIA,2013,8.834237
AIA,2014,8.794879
AIA,2015,9.780962
ATG,2008,6.4950438
ATG,2009,6.6149755
ATG,2010,6.440348
ATG,2011,6.322436
ATG,2012,6.3813004
ATG,2013,6.32341
ATG,2014,6.39672
ATG,2015,6.514907
ARG,2008,4.6344175
ARG,2009,4.361312
ARG,2010,4.503556
ARG,2011,4.54762
ARG,2012,4.5387554
ARG,2013,4.451076
ARG,2014,4.3788633
ARG,2015,4.4102354
ARM,2008,1.8833776
ARM,2009,1.4813462
ARM,2010,1.4509143
ARM,2011,1.6997688
ARM,2012,1.9668766
ARM,2013,1.8939097
ARM,2014,1.917619
ARM,2015,1.8722998
ABW,2008,27.157389
ABW,2009,26.525524
ABW,2010,25.029972
ABW,2011,24.742538
ABW,2012,13.248491
ABW,2013,8.394657
ABW,2014,8.435128
ABW,2015,8.614971
AUS,2008,18.94381
AUS,2009,18.688597
AUS,2010,18.297293
AUS,2011,17.965395
AUS,2012,17.7746
AUS,2013,17.174335
AUS,2014,16.64416
AUS,2015,16.765352
AUT,2008,8.8294735
AUT,2009,8.065431
AUT,2010,8.608196
AUT,2011,8.328273
AUT,2012,7.9788394
AUT,2013,7.9900355
AUT,2014,7.5066957
AUT,2015,7.676675
AZE,2008,3.6942694
AZE,2009,3.2170568
AZE,2010,3.0118616
AZE,2011,3.263754
AZE,2012,3.4953828
AZE,2013,3.5304873
AZE,2014,3.5663943
AZE,2015,3.556183
BHS,2008,5.350727
BHS,2009,5.9382315
BHS,2010,6.0620985
BHS,2011,5.687145
BHS,2012,5.4646664
BHS,2013,5.2500734
BHS,2014,5.4052744
BHS,2015,5.7809343
BHR,2008,26.344307
BHR,2009,23.739178
BHR,2010,23.964918
BHR,2011,23.590656
BHR,2012,22.296165
BHR,2013,24.783257
BHR,2014,23.53623
BHR,2015,23.699127
BGD,2008,0.30333978
BGD,2009,0.3260235
BGD,2010,0.3550251
BGD,2011,0.36195275
BGD,2012,0.38501203
BGD,2013,0.41373482
BGD,2014,0.42763633
BGD,2015,0.48279482
BRB,2008,6.3551946
BRB,2009,6.200283
BRB,2010,5.6782417
BRB,2011,5.8896937
BRB,2012,5.598732
BRB,2013,5.5196924
BRB,2014,4.965889
BRB,2015,4.901931
BLR,2008,6.593982
BLR,2009,6.3716855
BLR,2010,6.5795755
BLR,2011,6.472004
BLR,2012,6.6094017
BLR,2013,6.77541
BLR,2014,6.7191873
BLR,2015,6.1976523
BEL,2008,11.2215605
BEL,2009,9.967704
BEL,2010,10.468463
BEL,2011,9.520928
BEL,2012,9.222086
BEL,2013,9.207796
BEL,2014,8.655899
BEL,2015,8.981999
BLZ,2008,1.4325055
BLZ,2009,1.6525726
BLZ,2010,1.6818045
BLZ,2011,1.6903518
BLZ,2012,1.3476228
BLZ,2013,1.286995
BLZ,2014,1.344067
BLZ,2015,1.7994051
BEN,2008,0.4246635
BEN,2009,0.44424492
BEN,2010,0.4776112
BEN,2011,0.44381663
BEN,2012,0.42341626
BEN,2013,0.42637473
BEN,2014,0.43481383
BEN,2015,0.4693856
BMU,2008,10.242234
BMU,2009,7.4908395
BMU,2010,9.541068
BMU,2011,6.9543066
BMU,2012,5.7551246
BMU,2013,8.411862
BMU,2014,10.55077
BMU,2015,8.484554
BTN,2008,0.9417083
BTN,2009,0.9788788
BTN,2010,1.2904984
BTN,2011,1.4617691
BTN,2012,1.6543369
BTN,2013,1.8253992
BTN,2014,1.8922364
BTN,2015,2.005328
BOL,2008,1.3161515
BOL,2009,1.3516139
BOL,2010,1.4455193
BOL,2011,1.5410936
BOL,2012,1.6675211
BOL,2013,1.6633582
BOL,2014,1.8331732
BOL,2015,1.8054521
BIH,2008,5.0559635
BIH,2009,5.293341
BIH,2010,5.5478983
BIH,2011,6.3502297
BIH,2012,6.0309324
BIH,2013,6.0376363
