iso3,year,healthcare_expenditure
AFG,2008,10.25649548
AGO,2008,3.32290339
ALB,2008,5.50900269
AND,2008,5.67066383
ARE,2008,2.92847514
ARG,2008,8.1826973
ARM,2008,6.64
ATG,2008,4.20027018
AUS,2008,8.24855137
AUT,2008,9.73
AZE,2008,2.05
BDI,2008,7.74147511
BEL,2008,9.5951395
BEN,2008,2.65178108
BFA,2008,4.64780712
BGD,2008,2.11878848
BGR,2008,6.28
BHR,2008,3.2038722
BHS,2008,4.86261654
BIH,2008,9.69
BLR,2008,5.29
BLZ,2008,4.53821993
BOL,2008,4.60677242
BRA,2008,8.01128483
BRB,2008,6.47753286
BRN,2008,1.87612021
BTN,2008,3.38117099
BWA,2008,5.89747286
CAF,2008,4.08699083
CAN,2008,9.60754967
CHE,2008,9.53167629
CHL,2008,6.73954487
CHN,2008,3.900002
CIV,2008,4.56869602
CMR,2008,3.65843678
COD,2008,4.31254768
COG,2008,2.2392714
COL,2008,6.84192228
COM,2008,5.06897497
CPV,2008,3.58312893
CRI,2008,7.46854782
CUB,2008,11.31422806
CYP,2008,6.01
CZE,2008,6.33024931
DEU,2008,10.25128746
DJI,2008,3.61543369
DMA,2008,5.04968786
DNK,2008,9.51
DOM,2008,4.56146193
DZA,2008,4.20188284
ECU,2008,5.46596193
EGY,2008,4.46634817
ERI,2008,6.415205
ESP,2008,8.38225937
EST,2008,5.95724869
ETH,2008,4.28063869
FIN,2008,8.34
FJI,2008,3.18467116
FRA,2008,10.50084686
FSM,2008,11.99137974
GAB,2008,2.78980231
GBR,2008,9.02561569
GEO,2008,8.44
GHA,2008,3.87511325
GIN,2008,3.26562262
GMB,2008,4.65938807
GNB,2008,5.45864058
GNQ,2008,1.11555648
GRC,2008,8.82774162
GRD,2008,5.386199
GTM,2008,6.08129978
GUY,2008,4.20242214
HND,2008,8.60362625
HRV,2008,7.65
HTI,2008,3.75722051
HUN,2008,7.09
IDN,2008,2.54842305
IND,2008,3.51
IRL,2008,9.12564754
IRN,2008,5.03990459
IRQ,2008,3.06604242
ISL,2008,8.34
ISR,2008,6.83
ITA,2008,8.53
JAM,2008,5.61143064
JOR,2008,8.48880577
JPN,2008,8.09
KAZ,2008,3.05
KEN,2008,5.28900909
KGZ,2008,6.53
KHM,2008,6.60109425
KIR,2008,14.08
KNA,2008,5.30566025
KOR,2008,5.24600267
KWT,2008,1.92400301
LAO,2008,2.76727295
LBN,2008,7.81751728
LBR,2008,5.99615717
LBY,2008,2.24441886
LCA,2008,5.09061956
LKA,2008,3.85
LSO,2008,7.66656303
LTU,2008,6.29
LUX,2008,6.23
LVA,2008,5.58
MAR,2008,4.83789158
MCO,2008,4.08357811
MDA,2008,10.95
MDG,2008,4.08111715
MDV,2008,11.47
MEX,2008,5.69886971
MHL,2008,15.20470905
MKD,2008,6.55
MLI,2008,5.02686644
MLT,2008,7.86
MMR,2008,2.11
MNG,2008,4.55693007
MOZ,2008,4.22139311
MRT,2008,3.01338983
MUS,2008,3.93896508
MWI,2008,6.10668802
MYS,2008,3.00692558
NAM,2008,9.91801167
NER,2008,5.24640608
NGA,2008,3.69581532
NIC,2008,7.16700697
NLD,2008,9.28
NOR,2008,7.92
NPL,2008,3.82
NRU,2008,23.0041008
NZL,2008,9.12382889
OMN,2008,1.75567567
PAK,2008,2.71266913
PAN,2008,7.05229712
PER,2008,4.5332098
PHL,2008,3.86
PLW,2008,9.40130234
PNG,2008,2.13526058
POL,2008,6.38
PRT,2008,9.58
PRY,2008,5.03776026
QAT,2008,1.63775349
ROU,2008,5.02
RUS,2008,4.9
RWA,2008,7.5670433
SAU,2008,2.97100711
SDN,2008,5.42313576
SEN,2008,3.50687575
SGP,2008,3.19488454
SLB,2008,5.50597048
SLE,2008,8.81158161
SLV,2008,8.49585915
SMR,2008,5.41110897
SRB,2008,9.48246479
STP,2008,7.16872263
SUR,2008,4.74699593
SVK,2008,6.96
SVN,2008,7.85
SWE,2008,8.21
SWZ,2008,8.85792923
SYC,2008,3.61745405
SYR,2008,3.39762759
TCD,2008,4.05955124
TGO,2008,3.84063601
THA,2008,3.45933938
TJK,2008,5.91
TKM,2008,3.49424887
TLS,2008,6.96563959
TON,2008,6.05759716
TTO,2008,3.6575706
TUN,2008,5.1644063
TUR,2008,5.22
TUV,2008,10.1193676
TZA,2008,5.55704737
UGA,2008,5.45476198
UKR,2008,5.5
URY,2008,8.12533188
USA,2008,15.20718479
UZB,2008,4.7
VCT,2008,3.88194203
VNM,2008,4.36028337
VUT,2008,3.13810205
WSM,2008,4.53258085
YEM,2008,5.76191616
ZAF,2008,7.14832258
ZMB,2008,4.46690989
AFG,2009,9.81848717
AGO,2009,3.84260798
ALB,2009,5.82603931
AND,2009,6.08094168
ARE,2009,4.04999304
ARG,2009,9.45599556
ARM,2009,8.44
ATG,2009,4.17732763
AUS,2009,8.54473877
AUT,2009,10.23
AZE,2009,2.77
BDI,2009,9.23238468
BEL,2009,10.32117939
BEN,2009,2.88892651
BFA,2009,5.08159161
BGD,2009,2.18321705
BGR,2009,6.6
BHR,2009,4.32666922
BHS,2009,5.1500144
BIH,2009,9.02
BLR,2009,5.39
BLZ,2009,4.52587652
BOL,2009,5.17444515
BRA,2009,8.39480495
BRB,2009,7.14522552
BRN,2009,2.39306617
BTN,2009,3.5476253
BWA,2009,6.62081194
CAF,2009,4.81901121
CAN,2009,10.66225815
CHE,2009,10.1415062
CHL,2009,7.25026846
CHN,2009,4.34958458
CIV,2009,4.46966648
CMR,2009,3.49997187
COD,2009,4.51133156
COG,2009,2.1422224
COL,2009,7.3113451
COM,2009,4.92694378
CPV,2009,3.88152432
CRI,2009,7.86019135
CUB,2009,12.29053974
CYP,2009,6.47
CZE,2009,7.24880648
DEU,2009,11.23791218
DJI,2009,3.64194465
DMA,2009,4.98329306
DNK,2009,10.67
DOM,2009,4.76337624
DZA,2009,5.35939837
ECU,2009,5.79984474
EGY,2009,4.37870932
ERI,2009,5.38878489
ESP,2009,9.10764122
EST,2009,6.84477043
ETH,2009,4.64983416
FIN,2009,9.16
FJI,2009,3.53587627
FRA,2009,11.28756237
FSM,2009,12.55259323
GAB,2009,3.83571577
GBR,2009,10.04505444
GEO,2009,9.57
GHA,2009,4.37879181
GIN,2009,3.58147597
GMB,2009,4.46430683
GNB,2009,4.73428679
GNQ,2009,1.76790214
GRC,2009,9.40688515
GRD,2009,5.43471003
GTM,2009,6.33938646
GUY,2009,4.35117149
HND,2009,8.99592495
HRV,2009,8.08
HTI,2009,3.50277376
HUN,2009,7.22
IDN,2009,2.62324095
IND,2009,3.49
IRL,2009,10.52275658
IRN,2009,6.11493444
IRQ,2009,3.77203989
ISL,2009,8.78
ISR,2009,6.92
ITA,2009,8.95
JAM,2009,5.14654493
JOR,2009,9.22396946
JPN,2009,8.96
KAZ,2009,3.5
KEN,2009,5.26973343
KGZ,2009,6.9
KHM,2009,7.58330584
KIR,2009,13.49
KNA,2009,5.28673744
KOR,2009,5.65905666
KWT,2009,2.70638776
LAO,2009,3.46300411
LBN,2009,7.0073576
LBR,2009,11.57163811
LBY,2009,3.5828805
LCA,2009,5.24410772
LKA,2009,4.06
LSO,2009,8.95305061
LTU,2009,7.37
LUX,2009,6.95
LVA,2009,6.1
MAR,2009,5.27312183
MCO,2009,4.84195948
MDA,2009,13.68
MDG,2009,4.38469839
MDV,2009,10.09
MEX,2009,6.12978411
MHL,2009,14.53969955
MKD,2009,6.53
MLI,2009,5.2122364
MLT,2009,7.92
MMR,2009,2.16
MNG,2009,4.45980072
MOZ,2009,5.20390034
MRT,2009,3.11034036
MUS,2009,4.17035627
MWI,2009,5.87333822
MYS,2009,3.2610569
NAM,2009,9.04967022
NER,2009,5.33850145
NGA,2009,3.5801971
NIC,2009,7.68584394
NLD,2009,9.99
NOR,2009,9.03
NPL,2009,3.9
NRU,2009,12.31575871
NZL,2009,9.62076378
OMN,2009,2.4694581
PAK,2009,2.47458911
PAN,2009,7.24006367
PER,2009,4.96515894
PHL,2009,4.16
PLW,2009,10.30605984
PNG,2009,2.32937527
POL,2009,6.59
PRT,2009,10.13
PRY,2009,5.52496862
QAT,2009,2.38356304
ROU,2009,5.28
RUS,2009,5.64
RWA,2009,7.80694866
SAU,2009,4.29042768
SDN,2009,6.39496326
SEN,2009,3.841573
SGP,2009,3.39853096
SLB,2009,6.60598898
SLE,2009,9.68422222
SLV,2009,8.83749676
SMR,2009,6.18409586
SRB,2009,9.34623528
STP,2009,7.24220848
SUR,2009,4.97810316
SVK,2009,7.95
SVN,2009,8.54
SWE,2009,8.77
SWZ,2009,8.63292217
SYC,2009,3.54135323
SYR,2009,3.5464704
TCD,2009,4.44166946
TGO,2009,4.07616663
THA,2009,3.61939645
TJK,2009,5.86
TKM,2009,2.84764099
TLS,2009,7.30931807
TON,2009,3.92779636
TTO,2009,5.48676443
TUN,2009,5.40595293
TUR,2009,5.49
TUV,2009,12.26670933
TZA,2009,5.06306362
UGA,2009,5.78845549
UKR,2009,6.61
URY,2009,7.9498806
USA,2009,16.20063591
UZB,2009,4.8
VCT,2009,4.09299564
VNM,2009,4.48502922
VUT,2009,3.25197887
WSM,2009,5.12732029
YEM,2009,5.98619986
ZAF,2009,7.64941454
ZMB,2009,5.15718842
AFG,2010,8.56967163
AGO,2010,2.69509959
ALB,2010,6.23667669
AND,2010,7.67537737
ARE,2010,3.87873054
ARG,2010,9.44546413
ARM,2010,9.24
ATG,2010,5.37907028
AUS,2010,8.42025661
AUT,2010,10.22
AZE,2010,2.65
BDI,2010,11.28196716
BEL,2010,10.20229435
BEN,2010,3.00988984
BFA,2010,5.23958349
BGD,2010,2.28807664
BGR,2010,7.1
BHR,2010,4.08934975
BHS,2010,5.25594234
BIH,2010,9.02
BLR,2010,5.66
BLZ,2010,4.49519491
BOL,2010,5.20230532
BRA,2010,7.94516611
BRB,2010,6.77094746
BRN,2010,2.27826095
BTN,2010,3.55879498
BWA,2010,6.26718187
CAF,2010,3.56699872
CAN,2010,10.67611408
CHE,2010,9.93353558
CHL,2010,6.81958437
CHN,2010,4.23068333
CIV,2010,4.41577387
CMR,2010,3.57742167
COD,2010,3.72224283
COG,2010,1.85172856
COL,2010,7.07130146
COM,2010,4.99181557
CPV,2010,4.47555733
CRI,2010,8.02937794
CUB,2010,10.6880827
CYP,2010,6.5
CZE,2010,7.58647251
DEU,2010,11.09592915
DJI,2010,3.35966682
DMA,2010,5.15711927
DNK,2010,10.61
DOM,2010,4.92355442
DZA,2010,5.11716986
ECU,2010,6.22109413
EGY,2010,4.15319157
ERI,2010,4.83844233
ESP,2010,9.11891174
EST,2010,6.59433842
ETH,2010,5.46637249
FIN,2010,9.14
FJI,2010,3.41664124
FRA,2010,11.22560215
FSM,2010,13.10624504
GAB,2010,2.47556901
GBR,2010,9.92673969
GEO,2010,9.07
GHA,2010,4.22398996
GIN,2010,3.42782617
GMB,2010,4.11944056
GNB,2010,5.26704073
GNQ,2010,1.62134683
GRC,2010,9.59662342
GRD,2010,5.4188118
GTM,2010,6.1247797
GUY,2010,4.21897697
HND,2010,8.72536373
HRV,2010,7.99
HTI,2010,4.54871035
HUN,2010,7.45
IDN,2010,2.7908783
IND,2010,3.27
IRL,2010,10.52404499
IRN,2010,6.29153061
IRQ,2010,3.23955345
