iso3,year,life_expectancy
LSO,2015,48.84
CAF,2015,50.97
SWZ,2015,52.11
SOM,2015,53.54
MOZ,2015,55.86
SLE,2015,56.89
ZWE,2015,57.49
GNB,2015,57.58
TCD,2015,57.85
CMR,2015,58.98
GIN,2015,59.2
SSD,2015,59.28
NER,2015,59.63
COD,2015,59.96
SYR,2015,60.01
MLI,2015,60.12
AFG,2015,60.33
ZMB,2015,60.41
LBR,2015,60.38
BFA,2015,60.94
CIV,2015,60.93
GNQ,2015,61.13
TGO,2015,61.52
AGO,2015,61.59
KIR,2015,61.69
NGA,2015,61.73
MWI,2015,61.83
NAM,2015,61.86
BWA,2015,62.05
COG,2015,62.05
HTI,2015,62.51
ERI,2015,62.52
BEN,2015,62.63
BDI,2015,62.71
ZAF,2015,63.26
MDG,2015,63.36
GMB,2015,63.8
DJI,2015,63.88
GAB,2015,64.0
UGA,2015,64.22
KEN,2015,64.3
GHA,2015,64.34
SLB,2015,65.15
TZA,2015,65.16
FSM,2015,65.33
PAK,2015,65.7
PNG,2015,66.0
VUT,2015,66.79
LAO,2015,66.87
RWA,2015,66.96
GUY,2015,66.95
ETH,2015,67.1
SEN,2015,67.36
COM,2015,67.43
MMR,2015,67.43
FJI,2015,67.8
TLS,2015,67.84
SDN,2015,68.33
YEM,2015,68.25
KHM,2015,68.67
TKM,2015,68.83
MNG,2015,69.25
IND,2015,69.38
UZB,2015,69.43
MRT,2015,69.45
HND,2015,69.53
PHL,2015,69.52
NPL,2015,69.78
WSM,2015,70.02
EGY,2015,70.06
IDN,2015,70.54
STP,2015,70.56
IRQ,2015,71.01
MDA,2015,71.15
RUS,2015,71.3
PRK,2015,71.41
KGZ,2015,71.54
BOL,2015,71.95
GTM,2015,72.05
KAZ,2015,71.98
UKR,2015,72.15
JAM,2015,72.29
TJK,2015,72.37
TON,2015,72.46
GRD,2015,72.55
LBY,2015,72.65
SLV,2015,72.73
VCT,2015,72.79
BHS,2015,72.92
GEO,2015,72.85
SUR,2015,72.98
VNM,2015,73.03
BTN,2015,73.07
BGD,2015,73.19
SYC,2015,73.16
DOM,2015,73.29
MAR,2015,73.26
AZE,2015,73.63
BLR,2015,73.74
OMN,2015,73.77
VEN,2015,73.94
MUS,2015,74.13
ARM,2015,74.28
BLZ,2015,74.31
MYS,2015,74.28
TTO,2015,74.35
LTU,2015,74.37
PSE,2015,74.56
BGR,2015,74.56
BRA,2015,74.71
CPV,2015,74.83
LVA,2015,74.81
ROU,2015,74.91
PRY,2015,75.17
SRB,2015,75.28
MKD,2015,75.34
ATG,2015,75.62
HUN,2015,75.57
BHR,2015,75.75
MEX,2015,75.94
DZA,2015,76.07
BRB,2015,76.29
LCA,2015,76.39
LKA,2015,76.45
CHN,2015,76.51
ARG,2015,76.53
BRN,2015,76.56
SVK,2015,76.6
TUR,2015,76.69
TUN,2015,76.79
SAU,2015,76.89
MNE,2015,76.86
THA,2015,76.97
BIH,2015,77.0
URY,2015,77.1
ECU,2015,77.15
MDV,2015,77.25
COL,2015,77.34
IRN,2015,77.28
POL,2015,77.28
HRV,2015,77.61
EST,2015,77.63
QAT,2015,77.79
ALB,2015,77.77
CUB,2015,77.93
PAN,2015,78.14
NIC,2015,78.26
LBN,2015,78.44
JOR,2015,78.51
CZE,2015,78.48
USA,2015,78.61
CHL,2015,80.13
PER,2015,80.34
DEU,2015,80.43
GRC,2015,80.42
SVN,2015,80.46
PRI,2015,80.51
CRI,2015,80.57
DNK,2015,80.59
ARE,2015,80.71
GBR,2015,80.66
BEL,2015,80.71
PRT,2015,80.89
AUT,2015,80.99
IRL,2015,81.14
FIN,2015,81.2
NLD,2015,81.28
NZL,2015,81.31
KWT,2015,81.45
CAN,2015,81.65
MLT,2015,81.68
