country,iso3,year,region,gdppc,pm25_concentration,population,co2_emissions_pc,healthcare_expenditure,life_expectancy,urbanisation_rate
Afghanistan,AFG,2008,Asia,382.533807216693,13.26,26482629,0.16065161,10.25649548,57.9,23.32
Albania,ALB,2008,Europe,4370.53971639449,9.91,2992933,1.4691418,5.50900269,74.99,49.991
Algeria,DZA,2008,Africa,5217.99182157355,6.14,34816962,3.1906118,4.20188284,74.84,66.097
Angola,AGO,2008,Africa,4081.71750626182,14.96,21578655,0.86892146,3.32290339,56.22,58.282
Antigua and Barbuda,ATG,2008,North America,18708.9733545632,0.52,82926,6.4950438,4.20027018,75.06,27.405
Argentina,ARG,2008,South America,8977.50685093365,7.47,40424149,4.6344175,8.1826973,75.69,90.53
Armenia,ARM,2008,Asia,3908.94906011431,16.65,2959996,1.8833776,6.64,72.49,63.64
Australia,AUS,2008,Oceania,49701.2817843335,2.46,21370595,18.94381,8.24855137,81.32,84.943
Austria,AUT,2008,Europe,51919.9835754226,12.6,8323250,8.8294735,9.73,80.27,57.966
Azerbaijan,AZE,2008,Asia,5574.46810432575,16.58,8942637,3.6942694,2.05,68.71,52.99
Bahamas,BHS,2008,North America,29013.6302870767,1.68,358133,5.350727,4.86261654,72.98,82.343
Bahrain,BHR,2008,Asia,23155.821449155,19.05,1120717,26.344307,3.2038722,72.89,88.53
Bangladesh,BGD,2008,Asia,630.148307727773,47.49,149474264,0.30333978,2.11878848,69.03,28.968
Barbados,BRB,2008,North America,17570.7829148862,0.53,272718,6.3551946,6.47753286,75.51,32.256
Belarus,BLR,2008,Europe,6376.17569162063,12.32,9529357,6.593982,5.29,70.34,73.726
Belgium,BEL,2008,Europe,48303.397956286,13.12,10709710,11.2215605,9.5951395,79.56,97.555
Belize,BLZ,2008,North America,5665.96623188559,2.17,304373,1.4325055,4.53821993,73.54,45.262
Benin,BEN,2008,Africa,1098.94667867138,11.64,9228469,0.4246635,2.65178108,60.45,42.069
Bhutan,BTN,2008,Asia,1910.17421799781,20.62,686359,0.9417083,3.38117099,70.91,33.236
Bolivia,BOL,2008,South America,1687.57849715048,8.79,9850858,1.3161515,4.60677242,69.79,65.535
Bosnia and Herzegovina,BIH,2008,Europe,4846.79094117894,10.31,3947546,5.0559635,9.69,76.77,44.92
Botswana,BWA,2008,Africa,5345.84875177376,15.14,1949972,2.3092926,5.89747286,56.18,59.444
Brazil,BRA,2008,South America,8801.75787553359,7.68,190367297,2.1675887,8.01128483,73.71,83.749
Brunei Darussalam,BRN,2008,Asia,37427.5400573102,7.89,377800,24.260351,1.87612021,76.72,74.252
Bulgaria,BGR,2008,Europe,7271.30338858025,11.66,7535590,7.1804595,6.28,73.25,71.622
Burkina Faso,BFA,2008,Africa,621.890271798117,4.23,15258103,0.11913781,4.64780712,57.43,23.534
Burundi,BDI,2008,Africa,194.710634644444,17.47,8505644,0.023261731,7.74147511,57.79,10.118
Cambodia,KHM,2008,Asia,742.397972321917,15.56,14053479,0.28007478,6.60109425,65.75,19.571
Cameroon,CMR,2008,Africa,1476.00907755673,11.78,18574054,0.39413145,3.65843678,55.69,50.35
Canada,CAN,2008,North America,46710.2526864484,6.7,33449089,17.213322,9.60754967,80.56,80.578
Cape Verde,CPV,2008,Africa,3839.86363555731,1.29,501363,0.935434,3.58312893,73.93,60.194
Central African Republic,CAF,2008,Africa,446.228770359276,14.13,4558988,0.036165923,4.08699083,48.3,38.506
Chad,TCD,2008,Africa,936.494137074972,4.98,11476300,0.07602302,4.05955124,54.4,21.901
Chile,CHL,2008,South America,10797.0473705117,13.14,16838987,4.189833,6.73954487,79.2,86.959
China,CHN,2008,Asia,3468.32706307504,44.45,1333821009,5.624066,3.900002,74.0,46.539
Colombia,COL,2008,South America,5534.68944688198,6.52,43758804,1.5302975,6.84192228,75.41,77.204
Comoros,COM,2008,Africa,1454.65090944099,1.56,629314,0.17466639,5.06897497,65.34,27.886
Costa Rica,CRI,2008,North America,6841.9114600079,3.03,4440057,1.7995138,7.46854782,80.29,69.39
Cote d'Ivoire,CIV,2008,Africa,1683.33750616062,9.29,21514445,0.31200457,4.56869602,56.57,46.491
Croatia,HRV,2008,Europe,15900.4693649251,10.61,4314634,5.451251,7.65,76.07,54.819
Cuba,CUB,2008,North America,4992.82449445836,2.83,11291764,2.4564986,11.31422806,77.88,76.413
Cyprus,CYP,2008,Asia,35397.36328125,8.76,1091028,7.9894676,6.01,80.59,67.839
Czech Republic,CZE,2008,Europe,22804.5776774507,15.12,10378296,11.845384,6.33024931,77.15,73.394
Dem. Rep. Congo,COD,2008,Africa,317.88921008113,19.95,64390658,0.04170046,4.31254768,56.32,38.976
Denmark,DNK,2008,Europe,64322.0635020842,6.82,5493766,9.327979,9.51,78.64,86.487
Djibouti,DJI,2008,Africa,1131.63572564038,6.92,892739,0.5581743,3.61543369,61.39,76.899
Dominican Republic,DOM,2008,North America,5053.33028494248,2.74,9573136,2.1238427,4.56146193,73.28,71.3
Ecuador,ECU,2008,South America,4217.44458448304,7.07,14575202,2.0798635,5.46596193,74.41,62.3
Egypt,EGY,2008,Africa,1941.89997269337,7.91,85864791,2.3027802,4.46634817,69.77,43.058
El Salvador,SLV,2008,North America,2964.172140237,7.61,6029301,1.0622653,8.49585915,74.41,63.678
Equatorial Guinea,GNQ,2008,Africa,19849.7177669705,12.0,1084538,5.4785557,1.11555648,59.27,62.745
Eritrea,ERI,2008,Africa,459.178402670323,6.47,2816331,0.14144821,6.415205,59.62,34.0
Estonia,EST,2008,Europe,18204.9664786762,7.04,1337078,13.323685,5.95724869,74.25,68.351
Ethiopia,ETH,2008,Africa,320.861089711683,10.82,85543671,0.0750213,4.28063869,61.0,16.51
Fiji,FJI,2008,Oceania,3928.92173857964,0.18,903403,0.87604755,3.18467116,67.03,51.146
Finland,FIN,2008,Europe,53772.7942390019,5.84,5313381,11.033464,8.34,79.58,83.299
France,FRA,2008,Europe,45515.9617533473,11.02,62780187,6.1977158,10.50084686,80.87,77.868
Gabon,GAB,2008,Africa,9732.22653332604,16.52,1607182,3.3467827,2.78980231,60.8,84.359
Gambia,GMB,2008,Africa,857.858239870456,3.82,1817859,0.19954023,4.65938807,61.5,54.211
Georgia,GEO,2008,Asia,3324.7537205015,14.24,3941193,1.3470051,8.44,71.72,54.765
Germany,DEU,2008,Europe,45612.7106221441,11.74,81110781,10.560956,10.25128746,79.88,76.575
Ghana,GHA,2008,Africa,1178.95587732926,11.94,24249946,0.3432718,3.87511325,61.09,49.351
Greece,GRC,2008,Europe,32127.9831943287,10.5,11076873,10.028135,8.82774162,79.93,75.568
Grenada,GRD,2008,North America,7343.44526962639,0.58,110911,2.2464137,5.386199,70.93,35.877
Guatemala,GTM,2008,North America,2802.45158245094,8.25,13935173,0.78170294,6.08129978,71.01,47.807
Guinea,GIN,2008,Africa,712.099416076712,5.92,9898870,0.20172808,3.26562262,57.54,33.106
Guinea-Bissau,GNB,2008,Africa,640.048174194621,4.28,1488060,0.1526605,5.45864058,54.2,39.325
Guyana,GUY,2008,South America,4011.386903582,1.31,754615,2.2626426,4.20242214,65.76,27.105
Haiti,HTI,2008,North America,1089.57634564151,3.69,9530783,0.18473162,3.75722051,60.26,45.551
Honduras,HND,2008,North America,1713.41816440351,5.79,8012590,1.0649376,8.60362625,70.99,50.566
Hungary,HUN,2008,Europe,15772.3300839383,12.82,10016655,5.7089324,7.09,74.0,67.943
Iceland,ISL,2008,Europe,56943.3704468563,1.26,317519,12.005537,8.34,81.29,93.395
India,IND,2008,Asia,993.503405259298,47.23,1207930962,1.2330484,3.51,66.43,30.246
Indonesia,IDN,2008,Asia,2144.38954419287,10.3,240157901,1.5228244,2.54842305,68.84,48.335
Iran,IRN,2008,Asia,5623.91168093228,12.04,75514200,6.999154,5.03990459,75.93,69.458
Iraq,IRQ,2008,Asia,4504.50810924484,15.19,28971042,3.242486,3.06604242,69.81,68.927
Ireland,IRL,2008,Europe,61353.1065629523,5.23,4485992,10.557018,9.12564754,79.58,61.141
Israel,ISR,2008,Asia,30173.3615938856,8.61,7082621,9.598166,6.83,80.42,91.702
Italy,ITA,2008,Europe,40944.9124194678,11.95,59561686,8.027411,8.53,81.37,68.092
Jamaica,JAM,2008,North America,5056.25803606977,2.09,2725632,3.9549122,5.61143064,70.64,53.371
Japan,JPN,2008,Asia,39876.3039685725,12.68,128155991,9.614812,8.09,82.83,89.103
Jordan,JOR,2008,Asia,3416.12390126122,8.1,6989874,2.9640014,8.48880577,75.81,83.692
Kazakhstan,KAZ,2008,Asia,8458.01947450022,10.07,16426527,13.808822,3.05,67.14,56.682
Kenya,KEN,2008,Africa,915.998915654065,8.09,39206349,0.26099798,5.28900909,59.48,22.8
Kiribati,KIR,2008,Oceania,1411.90543571667,0.19,104235,0.45696744,14.08,61.27,45.706
Kuwait,KWT,2008,Asia,55595.4843129592,21.42,2651433,31.787466,1.92400301,78.26,100.0
Kyrgyzstan,KGZ,2008,Asia,966.393838565694,12.56,5342531,1.4002515,6.53,68.3,35.285
Laos,LAO,2008,Asia,887.639592455099,23.31,6148974,0.34661734,2.76727295,63.19,28.893
Latvia,LVA,2008,Europe,16467.1436879405,8.81,2177711,3.7645297,5.58,71.85,67.834
Lebanon,LBN,2008,Asia,5957.69675411548,9.94,4925360,3.5363455,7.81751728,77.53,87.042
Lesotho,LSO,2008,Africa,885.65930324266,11.41,1966547,1.0806352,7.66656303,45.9,23.796
Liberia,LBR,2008,Africa,456.144699881365,6.87,3821007,0.13891521,5.99615717,59.76,47.088
Libya,LBY,2008,Africa,13921.9037107842,4.09,6235433,7.970455,2.24441886,74.2,77.632
Lithuania,LTU,2008,Europe,14944.996652175,10.71,3198483,4.6765285,6.29,71.63,66.848
Luxembourg,LUX,2008,Europe,120422.137934157,10.12,488995,22.841446,6.23,80.57,87.8
Macedonia,MKD,2008,Europe,5026.4202989873,10.6,2070840,4.315397,6.55,74.32,57.175
Madagascar,MDG,2008,Africa,522.830621952534,2.75,20923841,0.08506841,4.08111715,62.02,30.67
Malawi,MWI,2008,Africa,557.519009408402,11.17,13976416,0.07143269,6.10668802,54.26,15.326
Malaysia,MYS,2008,Asia,8343.3033817446,13.07,27570054,6.9948015,3.00692558,74.19,69.225
Maldives,MDV,2008,Asia,6743.1309608974,2.2,336178,2.5067673,11.47,74.09,35.61
Mali,MLI,2008,Africa,676.127001144005,3.07,14940785,0.13095537,5.02686644,57.78,34.403
Malta,MLT,2008,Europe,22205.3567709304,4.22,418969,6.494972,7.86,79.93,93.929
Mauritania,MRT,2008,Africa,1610.2369793316,1.84,3183278,0.5762726,3.01338983,67.64,44.788
Mauritius,MUS,2008,Africa,8030.05228087539,0.3,1274634,2.955038,3.93896508,72.87,41.777
Mexico,MEX,2008,North America,10589.9518729134,13.18,110374285,4.2852488,5.69886971,75.09,77.222
Micronesia,FSM,2008,Oceania,2420.7490064763,0.1,108947,1.0089309,11.99137974,64.49,22.311
Moldova,MDA,2008,Europe,2110.55305353857,10.74,3779501,1.3732977,10.95,67.81,42.682
Mongolia,MNG,2008,Asia,2134.94983195668,5.77,2634431,4.5238576,4.55693007,66.9,65.581
Morocco,MAR,2008,Africa,3180.17065429688,5.48,31606768,1.6252557,4.83789158,71.88,56.886
Mozambique,MOZ,2008,Africa,591.439837606183,8.88,21819035,0.099909686,4.22139311,53.06,30.832
Myanmar,MMR,2008,Asia,653.866000185961,19.55,48390791,0.2019404,2.11,56.91,28.507
Namibia,NAM,2008,Africa,4222.32618912577,9.29,2047059,1.3961102,9.91801167,58.62,39.597
Nepal,NPL,2008,Asia,466.693379122712,42.25,26990038,0.12418611,3.82,69.03,16.105
Netherlands,NLD,2008,Europe,57879.9437553916,12.78,16597257,10.586404,9.28,80.26,85.402
New Zealand,NZL,2008,Oceania,31252.9625640673,1.54,4261819,8.80055,9.12382889,80.31,86.28
Nicaragua,NIC,2008,North America,1493.90454426773,3.07,5576597,0.78282505,7.16700697,76.36,56.525
Niger,NER,2008,Africa,472.178427355585,4.19,15361920,0.051565558,5.24640608,57.32,16.229
Nigeria,NGA,2008,Africa,2227.79034922679,14.67,157595017,0.57359296,3.69581532,58.75,41.702
Norway,NOR,2008,Europe,97503.5407803783,4.16,4768099,9.369562,7.92,80.49,78.526
Oman,OMN,2008,Asia,22974.2773504319,10.67,2626536,17.966614,1.75567567,73.35,74.08
Pakistan,PAK,2008,Asia,1087.51477702611,33.59,189499114,0.8187327,2.71266913,63.66,34.59
Panama,PAN,2008,North America,7197.11078610101,1.43,3500643,2.0952137,7.05229712,76.98,64.56
Papua New Guinea,PNG,2008,Oceania,1635.03956584558,0.99,7183002,0.77190316,2.13526058,64.35,13.055
