iso3,year,population
AFG,2008,26482629
HUN,2008,10016655
HKG,2008,7020689
HND,2008,8012590
HTI,2008,9530783
GUY,2008,754615
GNB,2008,1488060
URY,2008,3302183
GIN,2008,9898870
GGY,2008,61255
GTM,2008,13935173
GUM,2008,165704
GLP,2008,408986
GRD,2008,110911
GRL,2008,56684
GRC,2008,11076873
UZB,2008,27494779
GIB,2008,30431
GHA,2008,24249946
DEU,2008,81110781
GEO,2008,3941193
GMB,2008,1817859
ISL,2008,317519
GAB,2008,1607182
IND,2008,1207930962
IDN,2008,240157901
LBR,2008,3821007
LSO,2008,1966547
LBN,2008,4925360
LVA,2008,2177711
LAO,2008,6148974
GBR,2008,62027303
KGZ,2008,5342531
KWT,2008,2651433
KIR,2008,104235
KEN,2008,39206349
KAZ,2008,16426527
JOR,2008,6989874
JPN,2008,128155991
USA,2008,304970328
JAM,2008,2725632
ITA,2008,59561686
ISR,2008,7082621
IMN,2008,82046
IRL,2008,4485992
IRQ,2008,28971042
IRN,2008,75514200
VIR,2008,106971
PYF,2008,268390
GUF,2008,226106
VUT,2008,226908
VNM,2008,85175789
CRI,2008,4440057
COK,2008,16003
COG,2008,4113514
COM,2008,629314
COL,2008,43758804
CHN,2008,1333821009
CHL,2008,16838987
TCD,2008,11476300
WLF,2008,13706
CAF,2008,4558988
CYM,2008,51175
CPV,2008,501363
CAN,2008,33449089
CMR,2008,18574054
KHM,2008,14053479
BDI,2008,8505644
BFA,2008,15258103
ESH,2008,380833
BGR,2008,7535590
BRN,2008,377800
CIV,2008,21514445
HRV,2008,4314634
CUB,2008,11291764
CYP,2008,1091028
FRA,2008,62780187
FIN,2008,5313381
FJI,2008,903403
FRO,2008,48528
FLK,2008,3244
ETH,2008,85543671
SWZ,2008,1098098
EST,2008,1337078
VAT,2008,648
ERI,2008,2816331
LBY,2008,6235433
GNQ,2008,1084538
EGY,2008,85864791
ECU,2008,14575202
TLS,2008,1032432
DOM,2008,9573136
DMA,2008,68864
VEN,2008,28053694
DJI,2008,892739
DNK,2008,5493766
COD,2008,64390658
CZE,2008,10378296
SLV,2008,6029301
LIE,2008,35466
LTU,2008,3198483
LUX,2008,488995
SAU,2008,23287883
STP,2008,173808
SMR,2008,29720
WSM,2008,190118
VCT,2008,111046
SPM,2008,6063
MAF,2008,35977
LCA,2008,168815
TUN,2008,10542637
KNA,2008,46857
SHN,2008,5295
BLM,2008,8627
RWA,2008,9804268
RUS,2008,143811835
ROU,2008,20718744
REU,2008,830496
QAT,2008,1426942
TUR,2008,71562344
PRI,2008,3749129
PRT,2008,10564085
POL,2008,37995902
TTO,2008,1372090
SEN,2008,12048962
SRB,2008,7454285
SYC,2008,92563
THA,2008,67619834
TZA,2008,42570728
TJK,2008,7338403
TWN,2008,23086237
SYR,2008,21636565
CHE,2008,7641729
SWE,2008,9219903
TKL,2008,1585
SUR,2008,537252
SDN,2008,33623981
PHL,2008,92699093
LKA,2008,20629377
SSD,2008,8817645
KOR,2008,48356486
ZAF,2008,51114595
SOM,2008,11663088
TON,2008,107036
SLB,2008,508802
SVN,2008,2025090
SVK,2008,5379125
SGP,2008,4806742
SLE,2008,5894728
