iso3,year,urbanisation_rate
ABW,2008,43.783
AFG,2008,23.32
AGO,2008,58.282
ALB,2008,49.991
AND,2008,89.004
ARE,2008,83.387
ARG,2008,90.53
ARM,2008,63.64
ASM,2008,87.799
ATG,2008,27.405
AUS,2008,84.943
AUT,2008,57.966
AZE,2008,52.99
BDI,2008,10.118
BEL,2008,97.555
BEN,2008,42.069
BFA,2008,23.534
BGD,2008,28.968
BGR,2008,71.622
BHR,2008,88.53
BHS,2008,82.343
BIH,2008,44.92
BLR,2008,73.726
BLZ,2008,45.262
BMU,2008,100.0
BOL,2008,65.535
BRA,2008,83.749
BRB,2008,32.256
BRN,2008,74.252
BTN,2008,33.236
BWA,2008,59.444
CAF,2008,38.506
CAN,2008,80.578
CHE,2008,73.556
CHL,2008,86.959
CHN,2008,46.539
CIV,2008,46.491
CMR,2008,50.35
COD,2008,38.976
COG,2008,62.346
COL,2008,77.204
COM,2008,27.886
CPV,2008,60.194
CRI,2008,69.39
CUB,2008,76.413
CYM,2008,100.0
CYP,2008,67.839
CZE,2008,73.394
DEU,2008,76.575
DJI,2008,76.899
DMA,2008,67.502
DNK,2008,86.487
DOM,2008,71.3
DZA,2008,66.097
ECU,2008,62.3
EGY,2008,43.058
ERI,2008,34.0
ESP,2008,77.976
EST,2008,68.351
ETH,2008,16.51
FIN,2008,83.299
FJI,2008,51.146
FRA,2008,77.868
FRO,2008,40.536
FSM,2008,22.311
GAB,2008,84.359
GBR,2008,80.757
GEO,2008,54.765
GHA,2008,49.351
GIB,2008,100.0
GIN,2008,33.106
GMB,2008,54.211
GNB,2008,39.325
GNQ,2008,62.745
GRC,2008,75.568
GRD,2008,35.877
GRL,2008,83.787
GTM,2008,47.807
GUM,2008,93.916
GUY,2008,27.105
HKG,2008,100.0
HND,2008,50.566
HRV,2008,54.819
HTI,2008,45.551
HUN,2008,67.943
IDN,2008,48.335
IMN,2008,51.958
IND,2008,30.246
IRL,2008,61.141
IRN,2008,69.458
IRQ,2008,68.927
ISL,2008,93.395
ISR,2008,91.702
ITA,2008,68.092
JAM,2008,53.371
JOR,2008,83.692
JPN,2008,89.103
KAZ,2008,56.682
KEN,2008,22.8
KGZ,2008,35.285
KHM,2008,19.571
KIR,2008,45.706
KNA,2008,31.603
KOR,2008,81.733
KWT,2008,100.0
LAO,2008,28.893
LBN,2008,87.042
LBR,2008,47.088
LBY,2008,77.632
LCA,2008,20.131
LIE,2008,14.574
LKA,2008,18.257
LSO,2008,23.796
LTU,2008,66.848
LUX,2008,87.8
LVA,2008,67.834
MAC,2008,100.0
MAR,2008,56.886
MCO,2008,100.0
MDA,2008,42.682
MDG,2008,30.67
MDV,2008,35.61
MEX,2008,77.222
MHL,2008,72.613
MKD,2008,57.175
MLI,2008,34.403
MLT,2008,93.929
MMR,2008,28.507
MNE,2008,63.475
MNG,2008,65.581
MNP,2008,90.795
MOZ,2008,30.832
MRT,2008,44.788
MUS,2008,41.777
MWI,2008,15.326
MYS,2008,69.225
NAM,2008,39.597
NCL,2008,65.969
NER,2008,16.229
NGA,2008,41.702
NIC,2008,56.525
NLD,2008,85.402
NOR,2008,78.526
NPL,2008,16.105
NRU,2008,100.0
NZL,2008,86.28
OMN,2008,74.08
PAK,2008,34.59
PAN,2008,64.56
PER,2008,76.052
PHL,2008,45.455
PLW,2008,73.389
PNG,2008,13.055
POL,2008,61.116
PRI,2008,93.942
PRK,2008,60.04
PRT,2008,59.359
PRY,2008,58.612
PSE,2008,73.704
PYF,2008,59.166
QAT,2008,98.139
ROU,2008,53.567
RUS,2008,73.598
RWA,2008,16.925
SAU,2008,81.649
SDN,2008,32.919
SEN,2008,42.947
SGP,2008,100.0
SLB,2008,19.138
SLE,2008,38.077
SLV,2008,63.678
SMR,2008,95.264
SOM,2008,36.011
SRB,2008,54.55
SSD,2008,17.555
STP,2008,62.68
SUR,2008,66.479
SVK,2008,55.111
SVN,2008,52.209
SWE,2008,84.746
SWZ,2008,22.045
SYC,2008,52.619
SYR,2008,54.875
TCA,2008,89.294
TCD,2008,21.901
TGO,2008,36.587
THA,2008,41.242
TJK,2008,26.516
TKM,2008,47.868
TLS,2008,27.048
TON,2008,23.281
TTO,2008,54.402
TUN,2008,66.093
TUR,2008,69.651
TUV,2008,52.765
TZA,2008,26.776
UGA,2008,18.384
UKR,2008,68.325
URY,2008,93.998
USA,2008,80.438
UZB,2008,49.989
VCT,2008,48.18
VEN,2008,88.031
VIR,2008,94.239
VNM,2008,29.128
VUT,2008,23.985
WSM,2008,20.524
YEM,2008,30.619
ZAF,2008,61.154
ZMB,2008,38.371
ZWE,2008,33.56
ABW,2009,43.421
AFG,2009,23.528
AGO,2009,59.034
ALB,2009,51.076
AND,2009,88.912
ARE,2009,83.742
ARG,2009,90.691
ARM,2009,63.54
ASM,2009,87.697
ATG,2009,26.818
AUS,2009,85.063
AUT,2009,57.683
AZE,2009,53.19
BDI,2009,10.376
BEL,2009,97.603
BEN,2009,42.58
BFA,2009,24.079
BGD,2009,29.709
BGR,2009,71.963
BHR,2009,88.579
BHS,2009,82.385
BIH,2009,45.239
BLR,2009,74.172
BLZ,2009,45.245
BMU,2009,100.0
BOL,2009,65.984
