year,iso3,country,region,gdppc,pm25_concentration,population
2008,AFG,Afghanistan,Asia,382.533807216693,13.26,26482629
2008,ALB,Albania,Europe,4370.53971639449,9.91,2992933
2008,DZA,Algeria,Africa,5217.99182157355,6.14,34816962
2008,ASM,American Samoa,Oceania,10019.502245442,0.1,55848
2008,AND,Andorra,Europe,53938.8521336326,5.7,83513
2008,AGO,Angola,Africa,4081.71750626182,14.96,21578655
2008,ATG,Antigua and Barbuda,North America,18708.9733545632,0.52,82926
2008,ARG,Argentina,South America,8977.50685093365,7.47,40424149
2008,ARM,Armenia,Asia,3908.94906011431,16.65,2959996
2008,ABW,Aruba,North America,29011.6390567532,1.21,97815
2008,AUS,Australia,Oceania,49701.2817843335,2.46,21370595
2008,AUT,Austria,Europe,51919.9835754226,12.6,8323250
2008,AZE,Azerbaijan,Asia,5574.46810432575,16.58,8942637
2008,BHS,Bahamas,North America,29013.6302870767,1.68,358133
2008,BHR,Bahrain,Asia,23155.821449155,19.05,1120717
2008,BGD,Bangladesh,Asia,630.148307727773,47.49,149474264
2008,BRB,Barbados,North America,17570.7829148862,0.53,272718
2008,BLR,Belarus,Europe,6376.17569162063,12.32,9529357
2008,BEL,Belgium,Europe,48303.397956286,13.12,10709710
2008,BLZ,Belize,North America,5665.96623188559,2.17,304373
2008,BEN,Benin,Africa,1098.94667867138,11.64,9228469
2008,BMU,Bermuda,North America,106935.486341979,1.22,63319
2008,BTN,Bhutan,Asia,1910.17421799781,20.62,686359
2008,BOL,Bolivia,South America,1687.57849715048,8.79,9850858
2008,BIH,Bosnia and Herzegovina,Europe,4846.79094117894,10.31,3947546
2008,BWA,Botswana,Africa,5345.84875177376,15.14,1949972
2008,BRA,Brazil,South America,8801.75787553359,7.68,190367297
2008,BRN,Brunei Darussalam,Asia,37427.5400573102,7.89,377800
2008,BGR,Bulgaria,Europe,7271.30338858025,11.66,7535590
2008,BFA,Burkina Faso,Africa,621.890271798117,4.23,15258103
2008,BDI,Burundi,Africa,194.710634644444,17.47,8505644
2008,KHM,Cambodia,Asia,742.397972321917,15.56,14053479
2008,CMR,Cameroon,Africa,1476.00907755673,11.78,18574054
2008,CAN,Canada,North America,46710.2526864484,6.7,33449089
2008,CPV,Cape Verde,Africa,3839.86363555731,1.29,501363
2008,CYM,Cayman Islands,North America,89704.2225482118,1.94,51175
2008,CAF,Central African Republic,Africa,446.228770359276,14.13,4558988
2008,TCD,Chad,Africa,936.494137074972,4.98,11476300
2008,CHL,Chile,South America,10797.0473705117,13.14,16838987
2008,CHN,China,Asia,3468.32706307504,44.45,1333821009
2008,COL,Colombia,South America,5534.68944688198,6.52,43758804
2008,COM,Comoros,Africa,1454.65090944099,1.56,629314
2008,CRI,Costa Rica,North America,6841.9114600079,3.03,4440057
2008,CIV,Cote d'Ivoire,Africa,1683.33750616062,9.29,21514445
2008,HRV,Croatia,Europe,15900.4693649251,10.61,4314634
2008,CUB,Cuba,North America,4992.82449445836,2.83,11291764
2008,CYP,Cyprus,Asia,35397.36328125,8.76,1091028
2008,CZE,Czech Republic,Europe,22804.5776774507,15.12,10378296
2008,COD,Dem. Rep. Congo,Africa,317.88921008113,19.95,64390658
2008,DNK,Denmark,Europe,64322.0635020842,6.82,5493766
2008,DJI,Djibouti,Africa,1131.63572564038,6.92,892739
2008,DMA,Dominica,North America,6661.46504737997,0.8,68864
2008,DOM,Dominican Republic,North America,5053.33028494248,2.74,9573136
2008,ECU,Ecuador,South America,4217.44458448304,7.07,14575202
2008,EGY,Egypt,Africa,1941.89997269337,7.91,85864791
2008,SLV,El Salvador,North America,2964.172140237,7.61,6029301
2008,GNQ,Equatorial Guinea,Africa,19849.7177669705,12.0,1084538
2008,ERI,Eritrea,Africa,459.178402670323,6.47,2816331
2008,EST,Estonia,Europe,18204.9664786762,7.04,1337078
2008,ETH,Ethiopia,Africa,320.861089711683,10.82,85543671
2008,FRO,Faeroe Islands,Europe,51431.9730976048,1.5,48528
2008,FJI,Fiji,Oceania,3928.92173857964,0.18,903403
2008,FIN,Finland,Europe,53772.7942390019,5.84,5313381
2008,FRA,France,Europe,45515.9617533473,11.02,62780187
2008,PYF,French Polynesia,Oceania,25437.6685817517,0.15,268390
2008,GAB,Gabon,Africa,9732.22653332604,16.52,1607182
2008,GMB,Gambia,Africa,857.858239870456,3.82,1817859
2008,GEO,Georgia,Asia,3324.7537205015,14.24,3941193
2008,DEU,Germany,Europe,45612.7106221441,11.74,81110781
2008,GHA,Ghana,Africa,1178.95587732926,11.94,24249946
2008,GRC,Greece,Europe,32127.9831943287,10.5,11076873
2008,GRL,Greenland,North America,44366.7858688175,1.17,56684
2008,GRD,Grenada,North America,7343.44526962639,0.58,110911
2008,GUM,Guam,Oceania,28277.432083776,0.3,165704
2008,GTM,Guatemala,North America,2802.45158245094,8.25,13935173
2008,GIN,Guinea,Africa,712.099416076712,5.92,9898870
2008,GNB,Guinea-Bissau,Africa,640.048174194621,4.28,1488060
2008,GUY,Guyana,South America,4011.386903582,1.31,754615
2008,HTI,Haiti,North America,1089.57634564151,3.69,9530783
2008,HND,Honduras,North America,1713.41816440351,5.79,8012590
2008,HKG,Hong Kong,Asia,31515.5292103443,31.87,7020689
2008,HUN,Hungary,Europe,15772.3300839383,12.82,10016655
2008,ISL,Iceland,Europe,56943.3704468563,1.26,317519
2008,IND,India,Asia,993.503405259298,47.23,1207930962
2008,IDN,Indonesia,Asia,2144.38954419287,10.3,240157901
2008,IRN,Iran,Asia,5623.91168093228,12.04,75514200
2008,IRQ,Iraq,Asia,4504.50810924484,15.19,28971042
2008,IRL,Ireland,Europe,61353.1065629523,5.23,4485992
2008,IMN,Isle of Man,Europe,72304.9807352883,6.88,82046
2008,ISR,Israel,Asia,30173.3615938856,8.61,7082621
2008,ITA,Italy,Europe,40944.9124194678,11.95,59561686
2008,JAM,Jamaica,North America,5056.25803606977,2.09,2725632
2008,JPN,Japan,Asia,39876.3039685725,12.68,128155991
2008,JOR,Jordan,Asia,3416.12390126122,8.1,6989874
2008,KAZ,Kazakhstan,Asia,8458.01947450022,10.07,16426527
