CODE,ISO,COUNTRY,AVPMC_2008,AVPMC_2009,AVPMC_2010,AVPMC_2011,AVPMC_2012,AVPMC_2013,AVPMC_2014,AVPMC_2015
4,AFG,Afghanistan,13.26,10.51,11.93,11.97,13.41,13.02,12.20,15.23
8,ALB,Albania,9.91,9.01,9.72,9.99,10.27,9.69,9.35,11.80
12,DZA,Algeria,6.14,4.66,5.44,5.29,5.60,5.40,6.05,8.62
16,ASM,American Samoa,0.10,0.10,0.10,0.10,0.10,0.10,0.20,0.30
20,AND,Andorra,5.70,5.48,5.17,6.08,6.23,4.65,4.82,5.48
24,AGO,Angola,14.96,14.98,15.70,16.21,16.27,18.97,16.11,17.97
660,AIA,Anguilla,0.41,0.48,0.50,0.50,0.48,0.58,0.40,0.44
28,ATG,Antigua and Barbuda,0.52,0.50,0.54,0.50,0.49,0.59,0.42,0.55
32,ARG,Argentina,7.47,7.19,6.82,7.51,6.68,7.80,7.18,8.50
51,ARM,Armenia,16.65,14.01,18.59,15.26,16.81,16.88,15.59,18.15
533,ABW,Aruba,1.21,1.50,1.31,1.36,1.42,1.39,1.29,1.59
36,AUS,Australia,2.46,2.92,2.40,2.74,2.97,2.69,2.55,3.03
40,AUT,Austria,12.60,13.91,13.70,13.49,13.03,14.08,15.40,14.08
31,AZE,Azerbaijan,16.58,14.25,16.94,14.85,15.74,16.17,16.93,20.12
44,BHS,Bahamas,1.68,1.38,1.55,1.61,1.70,1.75,1.66,1.38
48,BHR,Bahrain,19.05,21.45,17.25,16.03,17.94,17.55,13.30,17.50
50,BGD,Bangladesh,47.49,54.68,47.67,47.53,54.26,48.24,58.19,60.27
52,BRB,Barbados,0.53,0.53,0.54,0.49,0.52,0.58,0.52,0.69
112,BLR,Belarus,12.32,14.76,16.96,13.72,14.29,13.52,15.02,15.75
56,BEL,Belgium,13.12,13.66,15.48,13.42,13.77,12.52,13.23,13.51
84,BLZ,Belize,2.17,2.55,2.97,4.49,4.04,5.21,2.70,2.19
204,BEN,Benin,11.64,10.89,14.34,12.21,13.48,13.28,9.99,13.21
60,BMU,Bermuda,1.22,1.03,1.13,1.03,1.13,1.04,1.13,0.86
64,BTN,Bhutan,20.62,25.19,20.59,18.69,22.94,21.83,24.21,23.92
68,BOL,Bolivia,8.79,7.20,14.47,9.00,9.54,10.52,10.28,7.59
70,BIH,Bosnia and Herzegovina,10.31,11.07,11.64,12.37,11.75,11.02,12.10,13.40
72,BWA,Botswana,15.14,12.64,17.73,14.20,14.30,14.64,13.39,20.32
76,BRA,Brazil,7.68,7.51,8.83,8.24,8.54,8.07,8.63,9.60
92,VGB,British Virgin Islands,0.50,0.58,0.59,0.59,0.50,0.59,0.49,0.52
96,BRN,Brunei Darussalam,7.89,13.36,7.97,7.74,11.73,8.06,7.24,9.71
100,BGR,Bulgaria,11.66,9.64,13.09,11.23,11.63,11.78,11.88,12.43
854,BFA,Burkina Faso,4.23,4.27,5.08,5.47,5.81,4.68,5.20,6.16
108,BDI,Burundi,17.47,16.00,15.60,17.51,21.40,20.43,18.91,19.86
116,KHM,Cambodia,15.56,14.74,15.83,13.69,16.99,19.10,18.20,17.49
120,CMR,Cameroon,11.78,12.55,15.58,13.14,13.63,12.90,12.40,13.66
124,CAN,Canada,6.70,6.35,6.58,6.57,7.00,6.45,6.42,7.40
132,CPV,Cape Verde,1.29,1.18,0.90,1.29,1.28,1.09,1.09,1.68
136,CYM,Cayman Islands,1.94,1.85,1.89,1.90,3.08,2.66,2.34,2.08
140,CAF,Central African Republic,14.13,15.19,16.76,17.11,15.34,16.25,14.71,15.90
148,TCD,Chad,4.98,6.03,5.84,5.58,5.32,5.14,4.39,5.98
152,CHL,Chile,13.14,12.87,12.32,13.58,12.64,12.84,12.65,15.42
156,CHN,China,44.45,43.99,44.12,41.63,39.22,45.16,43.03,43.75
170,COL,Colombia,6.52,7.47,9.71,6.39,9.99,8.23,7.64,7.12
174,COM,Comoros,1.56,1.69,1.89,1.96,2.02,1.91,1.96,2.20
184,COK,Cook Islands,0.20,0.20,0.18,0.10,0.20,0.20,0.20,0.29
188,CRI,Costa Rica,3.03,2.82,1.84,1.90,3.61,3.60,4.61,3.28
384,CIV,Cote d'Ivoire,9.29,9.21,10.61,12.63,11.91,9.73,7.76,12.20
191,HRV,Croatia,10.61,12.13,12.43,12.88,11.67,11.92,13.16,15.00
192,CUB,Cuba,2.83,2.91,2.92,3.16,4.55,4.31,3.45,2.91
531,CUW,Curacao,,,,,,,,
196,CYP,Cyprus,8.76,6.21,7.39,6.59,7.91,8.67,9.35,12.42
203,CZE,Czech Republic,15.12,18.11,21.51,17.84,17.09,17.15,18.57,19.12
180,COD,Dem. Rep. Congo,19.95,20.04,20.86,21.59,23.52,24.27,22.47,27.65
208,DNK,Denmark,6.82,8.21,8.86,10.09,7.26,7.21,11.59,8.79
262,DJI,Djibouti,6.92,6.42,6.92,8.34,7.12,7.08,6.30,8.76
212,DMA,Dominica,0.80,0.79,0.90,0.74,0.80,0.77,0.67,1.02
214,DOM,Dominican Republic,2.74,2.79,3.22,2.87,3.26,2.89,2.74,2.85
218,ECU,Ecuador,7.07,7.70,10.96,7.35,14.79,9.49,7.30,7.40
818,EGY,Egypt,7.91,7.35,7.63,6.21,6.96,7.79,7.64,10.88
222,SLV,El Salvador,7.61,7.07,7.14,9.74,9.96,11.24,6.98,7.76
226,GNQ,Equatorial Guinea,12.00,11.16,15.65,15.02,12.39,11.53,13.76,13.80
232,ERI,Eritrea,6.47,6.28,6.84,6.84,6.13,7.26,5.51,7.40
233,EST,Estonia,7.04,8.24,9.75,7.53,7.11,7.18,10.77,6.26
231,ETH,Ethiopia,10.82,10.44,11.97,13.51,12.31,12.68,10.77,17.26
234,FRO,Faeroe Islands,1.50,1.32,1.12,1.40,1.15,1.22,1.69,0.97
238,FLK,Falkland Islands,0.29,0.27,0.29,0.31,0.28,0.27,0.27,0.28
242,FJI,Fiji,0.18,0.20,0.17,0.12,0.19,0.19,0.19,0.20
246,FIN,Finland,5.84,7.11,7.49,6.82,5.43,5.28,8.76,5.33
250,FRA,France,11.02,11.60,11.63,11.50,11.53,11.27,11.19,10.70
254,GUF,French Guiana,0.80,0.63,0.57,0.56,0.86,0.89,0.75,0.90
258,PYF,French Polynesia,0.15,0.11,0.11,0.11,0.17,0.19,0.20,0.37
266,GAB,Gabon,16.52,14.47,17.57,16.36,15.20,16.89,18.19,18.00
270,GMB,Gambia,3.82,3.59,3.75,3.73,4.09,3.61,3.47,4.93
268,GEO,Georgia,14.24,11.43,15.46,12.17,12.70,12.75,13.47,14.78
276,DEU,Germany,11.74,12.42,15.24,12.70,12.35,12.05,15.10,13.12
288,GHA,Ghana,11.94,12.78,14.35,13.81,13.39,12.66,9.99,13.67
292,GIB,Gibraltar,8.14,7.67,8.53,8.92,8.06,9.39,9.17,11.02
300,GRC,Greece,10.50,8.01,10.68,8.99,9.13,9.79,10.39,11.48
304,GRL,Greenland,1.17,0.77,0.90,0.79,0.99,0.96,1.46,0.64
308,GRD,Grenada,0.58,0.63,0.60,0.55,0.56,0.59,0.54,0.80
312,GLP,Guadeloupe,,,,,,,,
316,GUM,Guam,0.30,0.35,0.20,0.28,0.33,0.40,0.40,0.59
320,GTM,Guatemala,8.25,9.43,8.00,9.60,10.57,12.33,7.53,7.94
324,GIN,Guinea,5.92,5.73,5.79,6.89,7.66,5.25,4.56,7.06
624,GNB,Guinea-Bissau,4.28,4.00,4.24,5.05,5.36,4.63,3.93,6.17
328,GUY,Guyana,1.31,1.22,1.22,1.15,1.79,1.58,1.21,1.48
332,HTI,Haiti,3.69,3.62,4.07,3.79,4.08,3.75,3.70,3.79
336,VAT,Holy See,,,,,,,,
340,HND,Honduras,5.79,5.78,6.04,8.83,8.64,9.77,4.89,4.90
344,HKG,Hong Kong,31.87,31.03,26.40,26.41,25.55,26.41,27.84,23.68
348,HUN,Hungary,12.82,16.52,18.73,17.93,15.22,15.39,15.54,20.29
352,ISL,Iceland,1.26,1.28,1.24,1.28,1.10,1.20,1.35,1.01
356,IND,India,47.23,45.33,43.17,41.63,40.15,44.93,47.34,49.18
360,IDN,Indonesia,10.30,11.08,10.26,8.41,12.41,10.36,12.73,16.35
364,IRN,Iran,12.04,12.03,12.42,11.91,12.19,12.02,11.36,12.31
368,IRQ,Iraq,15.19,14.99,14.90,14.53,14.18,12.90,8.43,12.69
372,IRL,Ireland,5.23,4.68,4.40,4.79,4.62,5.01,4.61,3.90
